placemarkName,placemarkLat,placemarkLon,styleId,origHref,proposedType,proposedValue,matchedDocId
"COLEGIO Cim Teià / Teià (Barcelona)",41.495203,2.318657,icon-1682-FFD600,"",none,"",gJ5vfEXZNitqR6VaE6Cw
"ESTACIÓN BUS / Cieza (Murcia)",38.240966,-1.413128,icon-1532-0288D1,"",none,"",77XhUkb8yQ14bQGDlPjF
"ESTACIÓN BUS / Jumilla (Murcia)",38.471592,-1.326027,icon-1532-0288D1,"",none,"",I5n3nx4yqbkEXhtq7OxD
"ESTACIÓN BUS / Monzón (Huesca)",41.91223,0.190063,icon-1532-0288D1,"",none,"",pkQ6ElskaRRFXjQs63lC
"ESTACIÓN BUS / Binéfar / (Huesca)",41.849448,0.292561,icon-1532-0288D1,"",none,"",myfUB0lpeLQSDQicCWNZ
"APARCAMIENTO / Mequinenza (Zaragoza)",41.369642,0.301225,icon-1644-0288D1,"",none,"",6fCaub6NteVVJjG5lwwX
"MUSEO De Mequinenza (Zaragoza)",41.361321,0.293888,icon-1636-A52714,"",none,"",kxyBx1y6lfau7Qljh0C1
"MUSEO Batalla del Ebro de Fayón",41.243014,0.334488,icon-1636-A52714,"",none,"",HqwFxuSQN6IKhk9tDKNR
"ZONA DE ESPERA / Calanda (Teruel)",40.947396,-0.236809,icon-1534-4E342E,"",none,"",wJe906dEjskoudyCzcxh
"APARCAMIENTO / Herrera del Duque (Badajoz)",39.170627,-5.04765,icon-1644-0288D1,"",none,"",KaRgZI1tRUqpvAA9DkCE
"ESTACIÓN BUS / Tallarrubias (Badajoz)",39.032496,-5.236633,icon-1532-0288D1,"",none,"",JsFRQwjSu2YVEkVZDXpA
"ZONA DE ESPERA / Arazcena (Huelva)",37.896897,-6.558557,icon-1534-4E342E,"",none,"",N5GFivWcTrDR4CmTz4NR
"GASOLINERA REPSOL / Santa Olalla del Cala (Huelva)",37.904459,-6.221656,icon-1581-006064,"",none,"",TMEZnjizyV9tKLwNXTUn
"PARKING 🅿️ / Artesa de Segre (Lérida)",41.892098,1.043047,icon-1644-0288D1,"",none,"",FMFzdzNORToAIVQ9urja
"C y D / Granada",37.172486,-3.597419,icon-1826-0F9D58,"",none,"",TBEEmkz5o1bwUqxfVWYk
"C Y D (Max 15Min) 🔄 / Málaga",36.720877,-4.414251,icon-1826-0F9D58,"",none,"",MdxWcJNz5r9Ar5Ew8UyK
"ZONA DE ESPERA / Granada",37.190402,-3.59249,icon-1534-4E342E,"",none,"",09EJNzGUkpEPnqOVQUtt
"ESTADIO Nuevo Los Cármenes / Granada C.F (Granada)",37.154049,-3.595776,icon-1899-DB4436,"",none,"",pIqUyneVtKSIzjbZOe2k
"ESTADIO La Rosaleda Málaga CF  / Málaga",36.733544,-4.427413,icon-1899-DB4436,"",none,"",8VXE5pgTHhCRvyfJnXr4
"PARKING BUS / Santander",43.47614,-3.797676,icon-1532-7CB342,"",none,"",sAd23qKNwcqobx9qzeJs
"C Y D / Montoro (Córdoba)",38.02694,-4.377362,icon-1826-0F9D58,"",none,"",MNQqZ3vwhGim6AfauN2g
"MUSEO Puerto de Tarragona",41.10998,1.244947,icon-1636-A52714,"",none,"",194Qhi09F7FknPqOxJ7H
"RESTAURANTE CLAMAR / Torredembarra (Tarragona)",41.144306,1.41085,icon-1577-795548,"",none,"",4WDTBSdSDXVuEcNDhjJu
"AUTOCARES Lasbareilles / Lourdes (FR)",43.103212,-0.036861,icon-1532-000000,"",none,"",YuzP0XuOsR8STYzulIlB
"AUTOCARES Pons / Lérida",41.623198,0.658619,icon-1532-000000,"",none,"",6G2gYR5XSTzK4FePGA1c
"AUTOCARES Gamón / Torrefarrera (Lérida)",41.66779,0.603597,icon-1532-000000,"",none,"",2mQaw9sXRygKHb4Yl72S
"AUTOCARES Salvia / Vila-sana (Lérida)",41.664388,0.932915,icon-1532-000000,"",none,"",uDhXV5tHibRaGP6R2wOm
"AUTOCARES Capaz / Valencia",39.432217,-0.391944,icon-1532-000000,"",none,"",4W5FxICox4LLMIK6a1tC
"C Y D / Toulouse (FR)",43.606632,1.449785,icon-1826-0F9D58,"",none,"",UlFsDf5R6cPjAQOTjbe2
"C Y D / AVE Valencia",39.460996,-0.380677,icon-1826-0F9D58,"",none,"",is7WpJBGrhpJ2c4pN2D9
"C Y D / Sancti Petri / Chiclana de la Frontera (Cádiz)",36.392678,-6.207303,icon-1826-0F9D58,"",none,"",aQKFCzfc8ixDqBoriiLL
"C Y D - Playa de la Barrosa / Chiclana de La Frontera (Cádiz)",36.361102,-6.173338,icon-1826-0F9D58,"",none,"",06iGe6T7ZZmlGwDsk6Ne
"C Y D - Playa de la Barrosa / Chiclana de la Frontera (Cádiz)",36.369617,-6.179557,icon-1826-0F9D58,"",none,"",7DjlUA7o670SwO4BtchN
"ALTURA MÁXIMA 3,3M ⛔️",41.110917,1.24259,icon-1541-E65100,"",none,"",vCXyvFX4LgVzJAiu6WeI
"HOTEL Park Porto / Maia (PO)",41.237603,-8.667465,icon-1602-9C27B0,"",none,"",BpwPICaEQurrFZXAqPkD
"ℹ️INFO: Mercadillo Jueves / Premià de Mar (Barcelona)",41.496968,2.359258,icon-1608-3949AB,"",none,"",U1FF2TuhmbJuHEMJf8LX
"AUTOCARES Sagalés / Caldes de Montbui (Barcelona)",41.624452,2.167932,icon-1532-000000,"",none,"",VeO3MLL0BksbRSuLc5zZ
"ESTACIÓN BUS / Caldes de Montbui (Barcelona)",41.629297,2.165832,icon-1532-0288D1,"",none,"",7wWXVrUDLUx80h1bf6lD
"PROHIBICIÓN Torroella de Montgrí ⛔️(Girona)",42.042032,3.127854,icon-1898-C2185B,"",none,"",XT931ZpI9iiZqMht20iI
"PROHIBICIÓN Torroella de Montgrí ⛔️(Girona)",42.038538,3.127885,icon-1898-C2185B,"",none,"",jfPusTXTCvUE6dfLRXNO
"PARKING BUS / Roses (Girona)",42.266365,3.155268,icon-1532-7CB342,"",none,"",NuzDpAxDQeu8yEsNQ2t2
"PARKING BUS / Roses (Girona)",42.267589,3.155662,icon-1532-7CB342,"",none,"",6w4Cei2o0EJFX5g18FYp
"AUTOCARES Mellizo / Sangonera La Seca (Murcia)",37.946404,-1.255462,icon-1532-000000,"",none,"",FreQ7oTTwUMr9zDDvl1x
"APARCAMIENTO / Sangüesa (Navarra)",42.575453,-1.27451,icon-1644-0288D1,"",none,"",XExZpR6rQx8OKVIqIH6H
"AUTOCARES Parra / Calahorra (La Rioja)",42.312172,-1.957926,icon-1532-000000,"",none,"",PaiQeMI1pWtLhvKhOoRT
"AUTOCARES Ñuco / Olivenza (Badajoz)",38.651486,-7.138121,icon-1532-000000,"",none,"",F5ECXqZfQpO4I1IHvaIo
"C Y D / Órgiva (Granada)",36.898996,-3.422206,icon-1826-0F9D58,"",none,"",uY6v8EZnON1bRXFZJdxX
"APARCAMIENTO / Cascais (PO)",38.696885,-9.433317,icon-1644-0288D1,"",none,"",rntLvO4tCuCFrFRVi1eB
"ESTACIÓN BUS / Villacarrillo (Jaén)",38.117459,-3.086291,icon-1532-0288D1,"",none,"",w3JRYkxUetV80T9xKbJM
"ESTACIÓN BUS / Baena (Córdoba)",37.61895,-4.329841,icon-1532-0288D1,"",none,"",His4jIrUhgayECdcMjF0
"ESTACIÓN BUS 🚍/ Pozoblanco (Córdoba)",38.379703,-4.856309,icon-1532-0288D1,"",none,"",HgbwrGicvxHQv0DLbMbl
"PARKING (Pago) 💰 / La Alhambra Granada",37.171652,-3.579388,icon-1513-1A237E,"",none,"",eKSFaNX4b7S2CrFNwbyW
"C Y D / La Albufera (Valencia)",39.31404,-0.317568,icon-1826-0F9D58,"",none,"",wfLuwkpWZ4vcEs5IzNwy
"ESTACIÓN BUS  / Malagón (Ciudad Real)",39.164815,-3.850107,icon-1532-0288D1,"",none,"",D3fURh3nwxQ5FlxRiiG0
"ESTACIÓN BUS  / Barbate (Cádiz)",36.194632,-5.917886,icon-1532-0288D1,"",none,"",NhgZtrXgMJBhnq3tM9vW
"HOTEL Bellavista / Bellavista (Sevilla)",37.318748,-5.968492,icon-1602-9C27B0,"",none,"",ZDulxLVrnqTKlGSxcnX6
"AUTOCARES PALMA AUÑON / Peligros (Granada)",37.226226,-3.628122,icon-1532-000000,"",none,"",UDANEjCldC6tDG2oA3ax
"AUTOCARES TURIABUS ✔️/ Manises (Valencia)",39.501819,-0.501579,icon-1532-000000,"",none,"",85erd2OAwzmlNONiQYn7
"AUTOCARES Belmonte / Cartagena (Murcia)",37.623893,-1.00857,icon-1532-000000,"",none,"",hsQa88HhSz3rHNFYU6Qm
"PARKING BUS / Campo Fútbol Sta. Ana / Cartagena (Murcia)",37.650744,-1.017287,icon-1532-7CB342,"",none,"",eYX8TAoM15FfXUKOHQMp
"COLEGIO King's College / Roldán (Murcia)",37.809531,-1.002881,icon-1682-FFD600,"",none,"",XQl5IgZzl2QK35CNFQj9
"ZONA DE ESPERA / Jerez de los Caballeros (Badajoz)",38.327063,-6.766014,icon-1534-4E342E,"",none,"",Alu3HdxWtmq4hx36FKf1
"ESTACIÓN BUS / Don Benito (Badajoz)",38.962383,-5.86302,icon-1532-0288D1,"",none,"",mXuOQuhphHlC6OWIOlSw
"RESTAURANTE El Cruce de Arapiles 🍽  (Salamanca)",40.894354,-5.657737,icon-1577-795548,"",none,"",fErFMCbVINv9l9GOe6ct
"ESTACIÓN BUS / Vitigudino (Salamanca)",41.005509,-6.436902,icon-1532-0288D1,"",none,"",WikKmZtWBMWK0qayExD0
"ESTACIÓN BUS / Aguilar del Campoo (Palencia)",42.795476,-4.259411,icon-1532-0288D1,"",none,"",JyC7DkyJJYwJky9kTAVR
"C Y D / Caravaca de La Cruz (Murcia)",38.105704,-1.865748,icon-1826-0F9D58,"",none,"",S7ldKKuKfAc2VuM54e5W
"SANTUARIO DE LA ESPERANZA / Calasparra (Murcia)",38.263151,-1.71028,icon-1670-E65100,"",none,"",yK3VHyWdKMaEnxRPtt5O
"APARCAMIENTO / Setenil (Cádiz)",36.864327,-5.173482,icon-1644-0288D1,"",none,"",Bkz4WcqrSHmAoqwQRG7Z
"ZONA DE ESPERA 🕔 / Granada",37.15383,-3.618921,icon-1534-4E342E,"",none,"",A1F5NfLAGz6KmirXfN8G
"ZONA DE ESPERA / Vigo",42.225963,-8.71399,icon-1534-4E342E,"",none,"",RXo7E8UmVI6lBsEYTTvb
"GASOLINERA REPSOL / Sangonera la Seca (Murcia)",37.941198,-1.264917,icon-1581-006064,"",none,"",GDBuQIwv0agJ5vbrao8b
"AREA 112 Algora (Guadalajara)",40.957217,-2.664968,icon-1769-000000,"",none,"",5ttBSOMescECqg1v3mCV
"PARKING BUS / Alcocéber (Castellón)",40.245263,0.280139,icon-1532-7CB342,"",none,"",9WKdA5mF4fMVUlUlXH1w
"ESTACIÓN BUS 🚍 / Vinaroz (Castellón)",40.478964,0.475901,icon-1532-0288D1,"",none,"",PpA0mckEILuEfUZIguSQ
"AUTOCARES Ramón / Bétera (Valencia)",39.605074,-0.464274,icon-1532-000000,"",none,"",n4xPzZUVBJboFZJVuFBx
